ANZSCOUnit,ANZSCOUnitCode,essential_v_non
Wall and Floor Tilers,3334,0
Plumbers,3341,0
Electrotechnology and Telecommunications Trades Workers,3400,1
Electricians,3411,0
Electronics and Telecommunications Trades Workers,3420,1
Airconditioning and Refrigeration Mechanics,3421,0
Electrical Distribution Trades Workers,3422,1
Electronics Trades Workers,3423,0
Telecommunications Trades Workers,3424,1
Food Trades Workers,3510,1
Bakers and Pastrycooks,3511,1
Butchers and Smallgoods Makers,3512,1
Chefs,3513,0
Cooks,3514,0
Skilled Animal and Horticultural Workers,3600,0
"Animal Attendants and Trainers, and Shearers",3610,0
Animal Attendants and Trainers,3611,0
Shearers,3612,1
Veterinary Nurses,3613,1
Horticultural Trades Workers,3620,0
Florists,3621,0
Gardeners,3622,0
Greenkeepers,3623,0
Nurserypersons,3624,1
Other Technicians and Trades Workers,3900,0
Hairdressers,3911,0
Printing Trades Workers,3920,0
Print Finishers and Screen Printers,3921,0
Graphic Pre-press Trades Workers,3922,0
Printers,3923,0
"Textile, Clothing and Footwear Trades Workers",3930,0
Canvas and Leather Goods Makers,3931,0
Clothing Trades Workers,3932,0
Upholsterers,3933,0
Wood Trades Workers,3940,0
Cabinetmakers,3941,0
Wood Machinists and Other Wood Trades Workers,3942,0
Miscellaneous Technicians and Trades Workers,3990,0
Boat Builders and Shipwrights,3991,0
"Chemical, Gas, Petroleum and Power Generation Plant Operators",3992,1
"Gallery, Library and Museum Technicians",3993,0
Jewellers,3994,0
Performing Arts Technicians,3995,0
Signwriters,3996,0
Other Miscellaneous Technicians and Trades Workers,3999,0
Community and Personal Service Workers,4000,1
Health and Welfare Support Workers,4110,1
Ambulance Officers and Paramedics,4111,1
"Dental Hygienists, Technicians and Therapists",4112,1
Diversional Therapists,4113,1
Enrolled and Mothercraft Nurses,4114,1
Indigenous Health Workers,4115,1
Massage Therapists,4116,0
Welfare Support Workers,4117,1
Carers and Aides,4200,1
Child Carers,4211,1
Education Aides,4221,1
Personal Carers and Assistants,4230,1
Aged and Disabled Carers,4231,1
Dental Assistants,4232,1
Nursing Support and Personal Care Workers,4233,1
Special Care Workers,4234,1
Hospitality Workers,4310,0
Bar Attendants and Baristas,4311,0
